1,15,6,4
1,11,0,4
1,8,7,4
1,3,3,4
1,14,3,4
1,2,2,4
1,5,11,4
1,12,0,4
1,10,2,4
1,1,0,4
1,4,1,4
1,13,0,4
1,9,0,4
1,7,0,4
1,6,0,4
2,15,33,4
2,11,0,4
2,8,0,4
2,3,0,4
2,14,0,4
2,2,0,4
2,5,0,4
2,12,1,4
2,10,0,4
2,1,0,4
2,4,0,4
2,13,0,4
2,9,0,4
2,7,1,4
2,6,0,4
3,15,11,4
3,11,9,4
3,8,0,4
3,3,0,4
3,14,1,4
3,2,2,4
3,5,8,4
3,12,0,4
3,10,2,4
3,1,0,4
3,4,0,4
3,13,1,4
3,9,0,4
3,7,0,4
3,6,1,4
4,15,0,4
4,11,0,4
4,8,0,4
4,3,0,4
4,14,0,4
4,2,0,4
4,5,1,4
4,12,0,4
4,10,1,4
4,1,0,4
4,4,0,4
4,13,0,4
4,9,0,4
4,7,33,4
4,6,0,4
5,15,5,4
5,11,1,4
5,8,1,4
5,3,0,4
5,14,10,4
5,2,2,4
5,5,0,4
5,12,3,4
5,10,0,4
5,1,1,4
5,4,4,4
5,13,0,4
5,9,0,4
5,7,8,4
5,6,0,4
6,15,0,4
6,11,0,4
6,8,0,4
6,3,0,4
6,14,9,4
6,2,20,4
6,5,0,4
6,12,0,4
6,10,0,4
6,1,0,4
6,4,6,4
6,13,0,4
6,9,0,4
6,7,0,4
6,6,0,4
7,15,0,4
7,11,0,4
7,8,0,4
7,3,0,4
7,14,21,4
7,2,14,4
7,5,0,4
7,12,0,4
7,10,0,4
7,1,0,4
7,4,0,4
7,13,0,4
7,9,0,4
7,7,0,4
7,6,0,4
8,15,0,4
8,11,0,4
8,8,0,4
8,3,0,4
8,14,21,4
8,2,12,4
8,5,0,4
8,12,2,4
8,10,0,4
8,1,0,4
8,4,0,4
8,13,0,4
8,9,0,4
8,7,0,4
8,6,0,4
9,15,5,4
9,11,0,4
9,8,10,4
9,3,5,4
9,14,1,4
9,2,0,4
9,5,0,4
9,12,5,4
9,10,0,4
9,1,3,4
9,4,0,4
9,13,0,4
9,9,4,4
9,7,0,4
9,6,2,4
10,15,15,4
10,11,1,4
10,8,2,4
10,3,2,4
10,14,7,4
10,2,0,4
10,5,1,4
10,12,0,4
10,10,4,4
10,1,1,4
10,4,0,4
10,13,0,4
10,9,0,4
10,7,1,4
10,6,1,4
11,15,13,4
11,11,0,4
11,8,1,4
11,3,2,4
11,14,1,4
11,2,3,4
11,5,0,4
11,12,2,4
11,10,1,4
11,1,2,4
11,4,7,4
11,13,0,4
11,9,0,4
11,7,2,4
11,6,1,4
12,15,0,4
12,11,1,4
12,8,1,4
12,3,2,4
12,14,3,4
12,2,3,4
12,5,0,4
12,12,0,4
12,10,17,4
12,1,0,4
12,4,0,4
12,13,0,4
12,9,2,4
12,7,0,4
12,6,6,4
13,15,5,4
13,11,0,4
13,8,0,4
13,3,0,4
13,14,0,4
13,2,27,4
13,5,0,4
13,12,0,4
13,10,3,4
13,1,0,4
13,4,0,4
13,13,0,4
13,9,0,4
13,7,0,4
13,6,0,4
14,15,14,4
14,11,1,4
14,8,1,4
14,3,0,4
14,14,3,4
14,2,3,4
14,5,2,4
14,12,2,4
14,10,2,4
14,1,0,4
14,4,5,4
14,13,0,4
14,9,0,4
14,7,2,4
14,6,0,4
15,15,15,4
15,11,1,4
15,8,0,4
15,3,2,4
15,14,0,4
15,2,2,4
15,5,0,4
15,12,0,4
15,10,0,4
15,1,0,4
15,4,0,4
15,13,4,4
15,9,0,4
15,7,0,4
15,6,11,4
16,15,35,4
16,11,0,4
16,8,0,4
16,3,0,4
16,14,0,4
16,2,0,4
16,5,0,4
16,12,0,4
16,10,0,4
16,1,0,4
16,4,0,4
16,13,0,4
